"","V1"
"1",-0.195957030128448
"2",-0.0353391899352645
"3",-0.137159744375337
"4",-0.0448596019211215
"5",-0.182226796866321
"6",-0.270442427899838
"7",0.935088080681516
"8",-0.82623256042232
"9",-0.943915410318517
"10",0.250538624298046
"11",0.151389384041408
"12",-1.40984982146726
"13",0.253276541117747
"14",-0.435093223541743
"15",-1.16847011090999
"16",-0.326456035896919
"17",0.384966006688578
"18",0.482432866526074
"19",-0.463551198935358
"20",0.255514327052343
"21",0.797230174828925
"22",-0.942818410368699
"23",-1.20262640778596
"24",-0.652636216968249
"25",-0.986074251141594
"26",-0.235235448495019
"27",0.0953550238089199
"28",-0.78288681738636
"29",-0.76413182195571
"30",-0.815062956744104
"31",-0.656471086297601
